MIM Number	Title	Entrez Gene ID
#300373	OSTEOPATHIA STRIATA WITH CRANIAL SCLEROSIS; OSCS	
#300376	MUSCULAR DYSTROPHY, BECKER TYPE; BMD	
#300438	HSD10 MITOCHONDRIAL DISEASE; HSD10MD	
#300539	NEPHROGENIC SYNDROME OF INAPPROPRIATE ANTIDIURESIS; NSIAD	
#300590	CORNELIA DE LANGE SYNDROME 2; CDLS2	
#300624	FRAGILE X SYNDROME; FXS	
#300695	SCAPULOPERONEAL MYOPATHY, X-LINKED DOMINANT; SPM	
#300696	MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE ATROPHY; XMPMA	
#300707	TOE SYNDACTYLY, TELECANTHUS, AND ANOGENITAL AND RENAL MALFORMATIONS; STAR	
#300718	REDUCING BODY MYOPATHY, X-LINKED 1B, WITH LATE CHILDHOOD OR ADULT ONSET; RBMX1B	
#300816	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6; COXPD6	
#300842	MCLEOD SYNDROME; MCLDS	
#300845	MOYAMOYA DISEASE 4 WITH SHORT STATURE, HYPERGONADOTROPIC HYPOGONADISM, AND FACIAL DYSMORPHISM; MYMY4	
#300855	OGDEN SYNDROME; OGDNS	
#300867	KABUKI SYNDROME 2; KABUK2	
#300868	MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2; MCAHS2	
#300887	LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 2; LSDMCA2	
#300895	OHDO SYNDROME, X-LINKED; OHDOX	
#300942	CHROMOSOME Xq26.3 DUPLICATION SYNDROME	
#300952	LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 3; LSDMCA3	
#300958	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNIJDERS BLOK TYPE; MRXSSB	
#300960	MEND SYNDROME; MEND	
#300963	RITSCHER-SCHINZEL SYNDROME 2; RTSC2	
#300967	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 34; MRXS34	
#300968	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F	
#300972	IMMUNODEFICIENCY 47; IMD47	
#300978	TONNE-KALSCHEUER SYNDROME; TOKAS	
#300989	MEESTER-LOEYS SYNDROME; MRLS	
#300990	MIDFACE HYPOPLASIA, HEARING IMPAIRMENT, ELLIPTOCYTOSIS, AND NEPHROCALCINOSIS; MFHIEN	
#300998	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 35; MRXS35	
#301021	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 30; MC1DN30	
#301022	MULLEGAMA-KLEIN-MARTINEZ SYNDROME; MKMS	
#301030	VAN ESCH-O'DRISCOLL SYNDROME; VEODS	
#301039	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HACKMANN-DI DONATO TYPE; MRXSHD	
#301040	ALPHA-THALASSEMIA/IMPAIRED INTELLECTUAL DEVELOPMENT SYNDROME, X-LINKED; ATRX	
#301043	HOLOPROSENCEPHALY 13, X-LINKED; HPE13	
#301044	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 85 WITH OR WITHOUT MIDLINE BRAIN DEFECTS; DEE85	
#301050	ALPORT SYNDROME 1, X-LINKED; ATS1	
#301054	VEXAS SYNDROME; VEXAS	
#301056	MULTIPLE CONGENITAL ANOMALIES-NEURODEVELOPMENTAL SYNDROME, X-LINKED; MCAND	
#301068	HARDIKAR SYNDROME; HDKR	
#301109	AUTOINFLAMMATORY DISEASE, MULTISYSTEM, WITH IMMUNE DYSREGULATION, X-LINKED; ADMIDX	
#301118	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 37; MRXS37	
#301500	FABRY DISEASE	
#302045	CARDIOMYOPATHY, DILATED, 3B; CMD3B	
#302060	BARTH SYNDROME; BTHS	
#303600	COFFIN-LOWRY SYNDROME; CLS	
#304150	OCCIPITAL HORN SYNDROME; OHS	
#305620	FRONTOMETAPHYSEAL DYSPLASIA 1; FMD1	
#306955	HETEROTAXY, VISCERAL, 1, X-LINKED; HTX1	
#308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS	
#309350	MELNICK-NEEDLES SYNDROME; MNS	
#309400	MENKES DISEASE; MNK	
#309500	RENPENNING SYNDROME 1; RENS1	
#309520	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUJAN-FRYNS TYPE; MRXSLF	
#309801	LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 1; LSDMCA1	
#309900	MUCOPOLYSACCHARIDOSIS, TYPE II; MPS2	
#310200	MUSCULAR DYSTROPHY, DUCHENNE TYPE; DMD	
#310300	EMERY-DREIFUSS MUSCULAR DYSTROPHY 1, X-LINKED; EDMD1	
#310440	MYOPATHY, X-LINKED, WITH EXCESSIVE AUTOPHAGY; MEAX	
#311200	OROFACIODIGITAL SYNDROME I; OFD1	
#311900	TARP SYNDROME; TARPS	
#312750	RETT SYNDROME; RTT	
#312870	SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1; SGBS1	
#314390	VACTERL ASSOCIATION, X-LINKED, WITH OR WITHOUT HYDROCEPHALUS; VACTERLX	
#314400	CARDIAC VALVULAR DYSPLASIA, X-LINKED; CVDPX	
#520000	DIABETES AND DEAFNESS, MATERNALLY INHERITED; MIDD	
#530000	KEARNS-SAYRE SYNDROME; KSS	
#535000	LEBER OPTIC ATROPHY	
#540000	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE EPISODES; MELAS	
#551000	MITOCHONDRIAL MYOPATHY, LETHAL, INFANTILE; LIMM	
#147791	JACOBSEN SYNDROME; JBS	
#147891	ISCHIOCOXOPODOPATELLAR SYNDROME WITH OR WITHOUT PULMONARY ARTERIAL HYPERTENSION; ICPPS	
#147920	KABUKI SYNDROME 1; KABUK1	
#150250	LARSEN SYNDROME; LRS	
#151100	LEOPARD SYNDROME 1; LPRD1	
#151660	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2; FPLD2	
#152700	SYSTEMIC LUPUS ERYTHEMATOSUS; SLE	
#153100	LYMPHATIC MALFORMATION 1; LMPHM1	
#153400	LYMPHEDEMA-DISTICHIASIS SYNDROME; LPHDST	
#154230	46,XY SEX REVERSAL 4; SRXY4	
#154400	ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1	
#154700	MARFAN SYNDROME; MFS	
#157800	CARDIOSPONDYLOCARPOFACIAL SYNDROME; CSCF	
#158170	CHROMOSOME 9p DELETION SYNDROME	
#158310	MUCOEPITHELIAL DYSPLASIA, HEREDITARY; HMD	
#158350	COWDEN SYNDROME 1; CWS1	
#158810	BETHLEM MYOPATHY 1A; BTHLM1A	
#160500	MYOPATHY, DISTAL, 1; MPD1	
#160900	MYOTONIC DYSTROPHY 1; DM1	
#160980	CARNEY COMPLEX, TYPE 1; CNC1	
#161800	CONGENITAL MYOPATHY 2A, TYPICAL, AUTOSOMAL DOMINANT; CMYP2A	
#162000	TUBULOINTERSTITIAL KIDNEY DISEASE, AUTOSOMAL DOMINANT, 1; ADTKD1	
#162200	NEUROFIBROMATOSIS, TYPE I; NF1	
#163200	SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM	
#163800	SICK SINUS SYNDROME 2; SSS2	
#163950	NOONAN SYNDROME 1; NS1	
#164200	OCULODENTODIGITAL DYSPLASIA; ODDD	
#164210	CRANIOFACIAL MICROSOMIA 1; CFM1	
#164280	FEINGOLD SYNDROME 1; FGLDS1	
#166200	OSTEOGENESIS IMPERFECTA, TYPE I; OI1	
#166210	OSTEOGENESIS IMPERFECTA, TYPE II; OI2	
#167400	PAROXYSMAL EXTREME PAIN DISORDER; PEXPD	
#167800	PANCREATITIS, HEREDITARY; PCTT	
#168000	PHEOCHROMOCYTOMA/PARAGANGLIOMA SYNDROME 1; PPGL1	
#169100	CHAR SYNDROME; CHAR	
#169500	LEUKODYSTROPHY, DEMYELINATING, ADULT-ONSET, AUTOSOMAL DOMINANT; ADLD	
#170390	ANDERSEN CARDIODYSRHYTHMIC PERIODIC PARALYSIS	
#171300	PHEOCHROMOCYTOMA	
#100300	ADAMS-OLIVER SYNDROME 1; AOS1	
#101200	APERT SYNDROME	
#101400	SAETHRE-CHOTZEN SYNDROME; SCS	
#102200	PITUITARY ADENOMA 1, MULTIPLE TYPES; PITA1	
#102500	HAJDU-CHENEY SYNDROME; HJCYS	
#103900	HYPERALDOSTERONISM, FAMILIAL, TYPE I; HALD1	
#104200	ALPORT SYNDROME 3A, AUTOSOMAL DOMINANT; ATS3A	
#105120	AMYLOIDOSIS, FINNISH TYPE	
#105210	AMYLOIDOSIS, HEREDITARY SYSTEMIC 1; AMYLD1	
#105650	DIAMOND-BLACKFAN ANEMIA 1; DBA1	
#106260	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE; AEC	
#106300	SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1; SPDA1	
#107480	TOWNES-BROCKS SYNDROME 1; TBS1	
#107970	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1; ARVD1	
#108010	ARTERIOVENOUS MALFORMATIONS OF THE BRAIN	
#108300	STICKLER SYNDROME, TYPE I; STL1	
#108770	ATRIAL STANDSTILL 1; ATRST1	
#108900	ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS; ASD7	
#109400	BASAL CELL NEVUS SYNDROME 1; BCNS1	
#109730	AORTIC VALVE DISEASE 1; AOVD1	
#112410	HYPERTENSION AND BRACHYDACTYLY SYNDROME; HTNB	
#113900	PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA; PFHB1A	
#114290	CAMPOMELIC DYSPLASIA; CMPD	
#115000	VENTRICULAR ARRHYTHMIAS DUE TO CARDIAC RYANODINE RECEPTOR CALCIUM RELEASE DEFICIENCY SYNDROME; VACRDS	
#115150	CARDIOFACIOCUTANEOUS SYNDROME 1; CFC1	
#115195	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 2; CMH2	
#115196	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 3; CMH3	
#115197	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4; CMH4	
#115200	CARDIOMYOPATHY, DILATED, 1A; CMD1A	
#115210	CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 1; RCM1	
#115310	PHEOCHROMOCYTOMA/PARAGANGLIOMA SYNDROME 4; PPGL4	
#115470	CAT EYE SYNDROME; CES	
#117550	SOTOS SYNDROME; SOTOS	
#117650	CEREBROCOSTOMANDIBULAR SYNDROME; CCMS	
#118450	ALAGILLE SYNDROME 1; ALGS1	
#121050	CONTRACTURAL ARACHNODACTYLY, CONGENITAL; CCA	
#121300	COPROPORPHYRIA, HEREDITARY; HCP	
#122470	CORNELIA DE LANGE SYNDROME 1; CDLS1	
#123450	CRI-DU-CHAT SYNDROME	
#173900	POLYCYSTIC KIDNEY DISEASE 1 WITH OR WITHOUT POLYCYSTIC LIVER DISEASE; PKD1	
#174000	TUBULOINTERSTITIAL KIDNEY DISEASE, AUTOSOMAL DOMINANT, 2; ADTKD2	
#174050	POLYCYSTIC LIVER DISEASE 1 WITH OR WITHOUT KIDNEY CYSTS; PCLD1	
#174300	OROFACIODIGITAL SYNDROME V; OFD5	
#175050	JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME; JPHT	
#175780	BRAIN SMALL VESSEL DISEASE 1 WITH OR WITHOUT OCULAR ANOMALIES; BSVD1	
#176000	PORPHYRIA, ACUTE INTERMITTENT; AIP	
#176200	VARIEGATE PORPHYRIA; VP	
#176670	HUTCHINSON-GILFORD PROGERIA SYNDROME; HGPS	
#176860	THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY, AUTOSOMAL DOMINANT; THPH3	
#176920	PROTEUS SYNDROME	
#177200	LIDDLE SYNDROME 1; LIDLS1	
#177735	PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOMAL DOMINANT; PHA1A	
#177850	PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE	
#178500	INTERSTITIAL LUNG DISEASE 2; ILD2	
#178600	PULMONARY HYPERTENSION, PRIMARY, 1; PPH1	
#179613	RECOMBINANT CHROMOSOME 8 SYNDROME	
#180300	RHEUMATOID ARTHRITIS; RA	
#180700	ROBINOW SYNDROME, AUTOSOMAL DOMINANT 1; DRS1	
#180849	RUBINSTEIN-TAYBI SYNDROME 1; RSTS1	
#180860	SILVER-RUSSELL SYNDROME 1; SRS1	
#181270	SCALP-EAR-NIPPLE SYNDROME; SENS	
#181350	EMERY-DREIFUSS MUSCULAR DYSTROPHY 2, AUTOSOMAL DOMINANT; EDMD2	
#181450	ULNAR-MAMMARY SYNDROME; UMS	
#182212	SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME; SGS	
#182250	SINGLETON-MERTEN SYNDROME 1; SGMRT1	
#182290	SMITH-MAGENIS SYNDROME; SMS	
#182410	SNEDDON SYNDROME; SNDNS	
#185070	STORMORKEN SYNDROME; STRMK	
#185500	SUPRAVALVULAR AORTIC STENOSIS; SVAS	
#187300	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 1; HHT1	
#187500	TETRALOGY OF FALLOT; TOF	
#187950	THROMBOCYTHEMIA 1; THCYT1	
#188050	THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1	
#188055	THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE; THPH2	
#188400	DIGEORGE SYNDROME; DGS	
#188580	THYROTOXIC PERIODIC PARALYSIS, SUSCEPTIBILITY TO, 1; TTPP1	
#190685	DOWN SYNDROME	
#191100	TUBEROUS SCLEROSIS 1; TSC1	
#123700	CUTIS LAXA, AUTOSOMAL DOMINANT 1; ADCL1	
#125310	CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 1; CADASIL1	
#130000	EHLERS-DANLOS SYNDROME, CLASSIC TYPE, 1; EDSCL1	
#130050	EHLERS-DANLOS SYNDROME, VASCULAR TYPE; EDSVASC	
#130080	EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 1; EDSPD1	
#130650	BECKWITH-WIEDEMANN SYNDROME; BWS	
#130720	LATERAL MENINGOCELE SYNDROME; LMNS	
#132900	AORTIC ANEURYSM, FAMILIAL THORACIC 4; AAT4	
#133020	ERYTHERMALGIA, PRIMARY	
#133100	ERYTHROCYTOSIS, FAMILIAL, 1; ECYT1	
#133540	COCKAYNE SYNDROME B; CSB	
#135500	ZIMMERMANN-LABAND SYNDROME 1; ZLS1	
#136140	FLOATING-HARBOR SYNDROME; FLHS




